name,test,d-sep,i-sep,saving,dSepTime,iSepTime
Munin,"I(R_DIFFN_ISCH_SALOSS,L_DELT_QUAN_MUPAMP,L_ADM_NEUR_ACT)",808,141,17.45,0.27022790908813477,0.1672661304473877
Munin,"I(R_DIFFN_LNLW_APB_MUDENS,L_LNLC8_LP_ADM_MUSIZE,L_ULN_RDLDCV_E)",737,24,3.26,0.23294305801391602,0.1044468879699707
Munin,"I(R_ADM_REPSTIM_DECR,R_DIFFN_APB_MUDENS,R_LNLBE_MED_BLOCK)",785,82,10.45,0.2563459873199463,0.12494111061096191
Munin,"I(L_MYDY_APB_MUDENS,R_DIFFN_APB_DE_REGEN,L_LNLT1_LP_APB_MUDENS)",5,1,20.00,0.005231142044067383,0.005527973175048828
Munin,"I(R_LNLT1_APB_DE_REGEN,R_ULN_AMPR_EW,R_LNLE_ULN_BLOCK)",35,1,2.86,0.018513202667236328,0.005785942077636719
Munin,"I(L_MED_DIFSLOW_WA,R_DE_REGEN_APB_NMT,R_LNL_ISCH_SEV)",788,82,10.41,0.250291109085083,0.12266182899475098
Munin,"I(L_ADM_SF_DENSITY,L_DELT_NEUR_ACT,R_ULN_CV_E)",799,94,11.76,0.2696700096130371,0.15569400787353516
Munin,"I(L_MYOP_MYDY_ADM_DENERV,L_OTHER_DELT_NMT,L_APB_FORCE)",10,4,40.00,0.004518032073974609,0.033409833908081055
Munin,"I(L_DIFFN_LNLW_ADM_DENERV,R_ULN_BLOCK_E,R_LNLT1_LP_BE_APB_NEUR_ACT)",775,44,5.68,0.24640512466430664,0.09910702705383301
Munin,"I(L_LNLW_MEDD2_SALOSS_WD,L_ADM_MUPINSTAB,L_DIFFN_LNLW_ADM_DENERV)",100,7,7.00,0.047749996185302734,0.02921605110168457
Munin,"I(L_MUSCLE_ADM_MUDENS,R_DELT_NEUR_ACT,R_LNLC8_LP_ADM_MUSIZE)",14,11,78.57,0.011281967163085938,0.014603137969970703
Munin,"I(L_DELT_REPSTIM_POST_DECR,L_LNLLP_ADM_MUDENS,R_APB_NMT)",751,76,10.12,0.23610496520996094,0.12915420532226562
Munin,"I(L_DELT_MUDENS,L_MYAS_DE_REGEN_ADM_NMT,L_MED_RDLDDEL)",828,116,14.01,0.2577829360961914,0.1554410457611084
Munin,"I(R_DIFFN_DELT_MALOSS,L_LNLE_DIFFN_ULND5_BLOCK_E,R_SUR_LD_CA)",768,39,5.08,0.2344980239868164,0.08993983268737793
Munin,"I(R_ADM_QUAL_MUPDUR,L_LNLT1_LP_APB_MALOSS,R_MYOP_ADM_DE_REGEN)",821,126,15.35,0.2565469741821289,0.15222477912902832
Munin,"I(R_DELT_TA_CONCL,L_LNLW_ULND5_LD_WD,L_DELT_TA_CONCL)",779,127,16.30,0.2369849681854248,0.14837312698364258
Munin,"I(R_LNL_DIFFN_ADM_DE_REGEN,L_DIFFN_DELT_MUSIZE,R_DIFFN_ISCH_SALOSS)",760,52,6.84,0.24156403541564941,0.12960577011108398
Munin,"I(R_LNLE_DIFFN_ULND5_BLOCK_E,L_LNL_DIFFN_ADM_MUSIZE,L_DELT_MUPDUR)",817,101,12.36,0.2618720531463623,0.18744206428527832
Munin,"I(L_DIFFN_ISCH_DIFSLOW,L_APB_VOL_ACT,R_LNLC8_ADM_DENERV)",707,12,1.70,0.22135400772094727,0.05543112754821777
Munin,"I(R_MEDD2_EFFAXLOSS,R_LNLW_APB_MALOSS,R_LNLBE_MEDD2_DIFSLOW_WD)",749,41,5.47,0.23853588104248047,0.08432698249816895
Munin,"I(R_LNLPC5_DIFFN_DELT_DE_REGEN,L_DIFFN_APB_DE_REGEN,L_ADM_MUSIZE)",713,39,5.47,0.2241840362548828,0.11396598815917969
Munin,"I(L_ULN_ALLDEL_WA,L_MEDD2_AMPR_EW,R_MYAS_APB_NMT)",852,115,13.50,0.2898550033569336,0.15894603729248047
Munin,"I(L_MED_DIFSLOW_EW,R_DELT_REPSTIM_CMAPAMP,L_DELT_QUAL_MUPAMP)",841,198,23.54,0.3026289939880371,0.20670604705810547
Munin,"I(L_OTHER_ADM_NEUR_ACT,R_OTHER_ULND5_LD,L_DIFFN_ADM_MUSIZE)",3,1,33.33,0.0017549991607666016,0.004651069641113281
Munin,"I(R_LNLW_MED_TIME,L_LNLLP_ADM_NEUR_ACT,R_SUR_DISP_CA)",54,1,1.85,0.018566131591796875,0.006382942199707031
Munin,"I(L_LNLBE_MED_DIFSLOW,L_LNLPC5_AXIL_PATHO,L_DELT_VOL_ACT)",5,1,20.00,0.0024509429931640625,0.0021619796752929688
Munin,"I(R_DIFFN_LNLW_APB_MUSIZE,R_MYOP_MYDY_APB_DENERV,L_MED_ALLCV_EW)",736,34,4.62,0.22678208351135254,0.0987699031829834
Munin,"I(L_ULND5_AMPR_E,L_LNLW_MED_TIME,R_APB_NMT)",767,77,10.04,0.24103188514709473,0.13088202476501465
Munin,"I(L_LNLBE_MEDD2_SALOSS_EW,R_LNLW_APB_MUDENS,L_MYDY_DELT_DE_REGEN)",11,1,9.09,0.005738019943237305,0.0033159255981445312
Munin,"I(L_MED_CV_EW,L_DIFFN_AXIL_BLOCK,R_MEDD2_DIFSLOW_WD)",764,69,9.03,0.24409794807434082,0.13213515281677246
Munin,"I(R_LNL_DIFFN_APB_DENERV,L_LNLC8_LP_ADM_DENERV,R_DIFFN_APB_MALOSS)",747,37,4.95,0.24312806129455566,0.10155200958251953
Munin,"I(L_LNLLP_APB_DENERV,R_APB_EFFMUS,R_LNLC8_LP_ADM_MALOSS)",8,1,12.50,0.02508687973022461,0.02114105224609375
Munin,"I(L_LNLC8_LP_ADM_MALOSS,L_ADM_MVA_AMP,R_ADM_MUSCLE_VOL)",24,4,16.67,0.030003070831298828,0.04491400718688965
Munin,"I(R_ULN_BLOCK_E,R_MYOP_MYDY_APB_DE_REGEN,L_LNLW_MED_SEV)",744,28,3.76,0.2460641860961914,0.09054398536682129
Munin,"I(L_DELT_QUAN_MUPAMP,L_LNLW_APB_MUDENS,R_LNLE_DIFFN_ULND5_DIFSLOW_E)",782,108,13.81,0.2467041015625,0.12954998016357422
Munin,"I(L_DIFFN_AXIL_BLOCK,L_APB_MUSCLE_VOL,R_LNLE_DIFFN_ULND5_DISP_E)",813,109,13.41,0.2711169719696045,0.1530141830444336
Munin,"I(L_APB_SF_DENSITY,R_MYOP_DELT_DENERV,L_LNLW_ULND5_DISP_WD)",758,49,6.46,0.24674296379089355,0.10427212715148926
Munin,"I(L_LNLC8_ADM_DENERV,L_DELT_SF_DENSITY,R_LNLPC5_AXIL_SEV)",8,1,12.50,0.014016151428222656,0.009466886520385742
Munin,"I(R_LNLW_MEDD2_DISP_WD,R_ULN_LD_EW,R_LNLPC5_DELT_DE_REGEN)",101,7,6.93,0.038023948669433594,0.019291162490844727
Munin,"I(L_MYOP_ADM_DE_REGEN,L_DELT_SPONT_INS_ACT,R_DELT_SPONT_NEUR_DISCH)",36,1,2.78,0.03071308135986328,0.023415088653564453
Munin,"I(R_DELT_QUAN_MUPDUR,R_MED_RDLDDEL,L_DELT_DENERV)",782,126,16.11,0.24676203727722168,0.14799094200134277
Munin,"I(R_LNLW_MEDD2_LD_WD,L_LNLE_ULN_BLOCK,L_MYAS_DELT_NMT)",102,9,8.82,0.03558802604675293,0.01680898666381836
Munin,"I(R_LNLC8_ADM_NEUR_ACT,R_ULND5_ALLCV_EW,R_ADM_REPSTIM_FACILI)",6,1,16.67,0.012984991073608398,0.022459030151367188
Munin,"I(L_DIFFN_ADM_MALOSS,R_MEDD2_DISP_WD,L_LNLE_ULND5_BLOCK_E)",757,43,5.68,0.23343205451965332,0.10768294334411621
Munin,"I(R_LNLBE_MEDD2_BLOCK_EW,R_ULND5_DISP_E,L_ADM_MULOSS)",3,1,33.33,0.005931854248046875,0.016576051712036133
