name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime
Munin,"I(L_DELT_DE_REGEN,L_MEDD2_SALOSS,R_LNLPC5_DIFFN_DELT_MUSIZE)",,785,73,9.30,0.24035406112670898,0.12752318382263184
Munin,"I(R_LNLE_ADM_MALOSS,R_DELT_SPONT_HF_DISCH,L_LNLC8_ADM_DENERV)",,122,8,6.56,0.057466983795166016,0.03444504737854004
Munin,"I(L_OTHER_ISCH_SALOSS,R_MYOP_MYDY_APB_DE_REGEN,L_OTHER_ULND5_DIFSLOW)",,8,1,12.50,0.004353046417236328,0.0030629634857177734
Munin,"I(R_MEDD2_DSLOW_EW,L_MYOP_DELT_MUDENS,R_LNLW_MEDD2_SALOSS_WD)",,743,35,4.71,0.2241649627685547,0.07916808128356934
Munin,"I(R_MYOP_MYDY_DELT_MUDENS,L_MUSCLE_DELT_DE_REGEN,R_ADM_NEUR_ACT)",,8,4,50.00,0.005555868148803711,0.013136863708496094
Munin,"I(R_DIFFN_MEDD2_SALOSS,L_ULND5_BLOCK_EW,R_ADM_SPONT_NEUR_DISCH)",,719,34,4.73,0.21539878845214844,0.07906389236450195
Munin,"I(R_MUSCLE_DELT_DE_REGEN,R_ULND5_ALLCV_WD,L_LNLW_APB_DE_REGEN)",,42,8,19.05,0.028666019439697266,0.02161097526550293
Munin,"I(L_LNLW_MEDD2_LD_WD,R_ULND5_AMP_WD,L_LNLT1_LP_BE_APB_NEUR_ACT)",,102,9,8.82,0.045742034912109375,0.030380964279174805
Munin,"I(R_MED_ALLCV_EW,R_DIFFN_ULND5_BLOCK,R_MEDD2_ALLAMP_WD)",,759,80,10.54,0.23532509803771973,0.1325669288635254
Munin,"I(R_MUSCLE_DELT_MUDENS,R_SUR_DISP_CA,R_DELT_MUDENS)",,14,14,100.00,0.010001897811889648,0.020483970642089844
