name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime
Andes,"I(SNode_115,SNode_116,SNode_100)",,483,376,77.85,0.06859683990478516,0.09544897079467773
Andes,"I(GOAL_83,EQUAL71,GOAL_127)",,297,202,68.01,0.02894902229309082,0.0786428451538086
Andes,"I(GOAL_108,DISPLACEM0,SNode_74)",,365,257,70.41,0.03479194641113281,0.09744906425476074
Andes,"I(VALUE3,GOAL_129,GOAL_153)",,5,1,20.00,0.02626490592956543,0.04413008689880371
Andes,"I(SNode_29,SNode_154,WEIGHT56)",,464,347,74.78,0.0782167911529541,0.07306885719299316
Andes,"I(GOAL_126,SNode_118,SNode_106)",,472,360,76.27,0.09831714630126953,0.12573695182800293
Andes,"I(INCLINE51,SNode_88,SNode_156)",,13,5,38.46,0.03688788414001465,0.05617117881774902
Andes,"I(SNode_5,GOAL_99,SNode_92)",,401,283,70.57,0.0703880786895752,0.0730280876159668
Andes,"I(SNode_9,GOAL_147,TRY13)",,542,475,87.64,0.09351611137390137,0.09523892402648926
Andes,"I(SNode_118,SNode_152,WRITE31)",,455,346,76.04,0.07649493217468262,0.1316361427307129
Andes,"I(SNode_136,APPLY32,IDENTIFY9)",,389,294,75.58,0.05234193801879883,0.09159493446350098
Andes,"I(SNode_88,SNode_7,GOAL_72)",,320,204,63.75,0.04292702674865723,0.0841679573059082
Andes,"I(SNode_44,DEFINE23,TRY13)",,207,59,28.50,0.019517898559570312,0.016782045364379883
Andes,"I(VALUE3,GOAL_143,GOAL_121)",,5,1,20.00,0.04412698745727539,0.06625914573669434
Andes,"I(KINEMATI17,SNode_116,IDENTIFY10)",,481,378,78.59,0.06566119194030762,0.06762194633483887
Andes,"I(SNode_94,SNode_95,APPLY77)",,402,285,70.90,0.07157397270202637,0.10622811317443848
Andes,"I(SNode_6,TRY12,GIVEN21)",,140,1,0.71,0.010827064514160156,0.0005459785461425781
Andes,"I(SNode_75,GOAL_110,GOAL_98)",,446,334,74.89,0.062417030334472656,0.09103202819824219
Andes,"I(GOAL_49,GOAL_50,IDENTIFY55)",,165,26,15.76,0.01364588737487793,0.005450010299682617
Andes,"I(SNode_102,GOAL_62,CHOOSE35)",,354,239,67.51,0.03944683074951172,0.06941604614257812
Andes,"I(SNode_154,VECTOR69,SNode_21)",,385,272,70.65,0.037793874740600586,0.06350398063659668
Andes,"I(FIND49,WRITE31,GOAL_63)",,77,1,1.30,0.006382942199707031,0.00780797004699707
Andes,"I(GOAL_99,TRY12,EQUATION28)",,306,195,63.73,0.03428196907043457,0.06355094909667969
Andes,"I(RApp9,SLIDING4,VALUE3)",,370,261,70.54,0.035121917724609375,0.05762004852294922
Andes,"I(GOAL66,RApp7,TRY14)",,19,1,5.26,0.027725934982299805,0.022761106491088867
Andes,"I(GOAL_50,RApp13,SNode_33)",,498,404,81.12,0.1273179054260254,0.12751078605651855
Andes,"I(SNode_115,GOAL_80,SNode_6)",,434,310,71.43,0.044821977615356445,0.06820511817932129
Andes,"I(GOAL72,SLIDING4,SNode_91)",,9,1,11.11,0.0011858940124511719,0.03023505210876465
Andes,"I(EQUATION28,SNode_156,KNOWN8)",,383,264,68.93,0.05219578742980957,0.0503392219543457
Andes,"I(IDENTIFY39,COMPO16,SNode_133)",,105,28,26.67,0.009584903717041016,0.029491186141967773
