name,test,inaugurals,d-sep,i-sep,saving
Alarm,"I(CVP,DISCONNECT,INSUFFANESTH)",18,13,9,69.23
Alarm,"I(LVEDVOLUME,HRSAT,PULMEMBOLUS)",8,12,8,66.67
Alarm,"I(VENTTUBE,PVSAT,HISTORY)",16,45,29,64.44
Alarm,"I(HYPOVOLEMIA,FIO2,HISTORY)",21,7,1,14.29
Alarm,"I(PULMEMBOLUS,PAP,CO)",10,12,8,66.67
Alarm,"I(SAO2,VENTTUBE,HREKG)",11,38,29,76.32
Alarm,"I(VENTALV,SAO2,HISTORY)",14,53,38,71.70
Alarm,"I(KINKEDTUBE,TPR,VENTTUBE)",20,18,1,5.56
Alarm,"I(EXPCO2,FIO2,PULMEMBOLUS)",16,40,22,55.00
Alarm,"I(LVEDVOLUME,BP,PULMEMBOLUS)",6,86,75,87.21
Alarm,"I(HREKG,BP,TPR)",8,85,71,83.53
Alarm,"I(INTUBATION,VENTLUNG,CO)",10,32,24,75.00
Alarm,"I(ERRLOWOUTPUT,DISCONNECT,ERRCAUTER)",21,2,1,50.00
Barley,"I(srtprot,mod_nmin,slt22)",9,24,9,37.50
Barley,"I(frspdag,jordinf,pesticid)",29,30,8,26.67
Barley,"I(tkv,dgv1059,saakern)",10,126,104,82.54
Barley,"I(nprot,bgbyg,s2528)",7,96,81,84.38
Barley,"I(saamng,udb,aks_vgt)",10,146,115,78.77
Barley,"I(slt22,partigerm,tkv)",8,137,107,78.10
Barley,"I(jordinf,ngtilg,ksort)",9,92,80,86.96
Barley,"I(dgv5980,rokap,saatid)",29,12,2,16.67
Barley,"I(nprot,srtsize,komm)",18,78,49,62.82
Barley,"I(saatid,jordn,jordtype)",25,31,4,12.90
Barley,"I(markgrm,potnmin,saamng)",27,36,11,30.56
Barley,"I(keraks,markgrm,slt22)",9,127,100,78.74
Barley,"I(spndx,keraks,aks_m2)",8,145,128,88.28
Barley,"I(ngodnn,markgrm,rokap)",21,59,30,50.85
Barley,"I(dgv1059,aks_m2,sorttkv)",12,128,104,81.25
Barley,"I(dg25,ntilg,saatid)",17,95,66,69.47
Barley,"I(slt22,dg25,ntilg)",9,137,104,75.91
Barley,"I(nopt,potnmin,tkv)",10,47,31,65.96
Barley,"I(s2225,ngtilg,udb)",8,139,111,79.86
Barley,"I(frspdag,sorttkv,ksort)",9,31,17,54.84
Barley,"I(mod_nmin,nprot,nplac)",18,78,60,76.92
Barley,"I(udb,forfrugt,dgv5980)",10,120,100,83.33
Barley,"I(antplnt,sort,nprot)",15,44,19,43.18
Barley,"I(ngodn,bgbyg,saatid)",17,86,58,67.44
Barley,"I(s2528,slt22,frspdag)",8,154,123,79.87
Barley,"I(ngodnn,dg25,aks_vgt)",11,59,48,81.36
Barley,"I(nedbarea,ngtilg,frspdag)",18,88,59,67.05
Barley,"I(saamng,spndx,s2225)",7,153,133,86.93
Barley,"I(rokap,slt22,nopt)",9,144,130,90.28
Barley,"I(tkvs,rokap,komm)",29,18,1,5.56
Barley,"I(aar_mod,ngodn,nopt)",19,72,48,66.67
Barley,"I(srtprot,s2225,saakern)",9,140,123,87.86
Barley,"I(ngodnn,srtsize,aks_m2)",12,59,49,83.05
Barley,"I(ntilg,nopt,protein)",7,91,80,87.91
Barley,"I(srtprot,ntilg,tkv)",10,24,8,33.33
Barley,"I(slt22,aar_mod,sort)",9,137,104,75.91
Barley,"I(nprot,aks_vgt,nopt)",10,135,111,82.22
Barley,"I(ntilg,markgrm,nprot)",15,96,72,75.00
Barley,"I(protein,keraks,saakern)",7,140,125,89.29
Barley,"I(frspdag,srtprot,antplnt)",26,31,8,25.81
Barley,"I(jordinf,aks_vgt,antplnt)",11,139,113,81.29
Barley,"I(ngodnn,nprot,tkvs)",18,73,58,79.45
Barley,"I(sort,keraks,nplac)",11,140,110,78.57
Barley,"I(ngodnt,nopt,nedbarea)",23,64,30,46.88
Barley,"I(dg25,ngodnn,ngtilg)",18,30,6,20.00
Barley,"I(srtprot,nopt,saamng)",27,24,5,20.83
Barley,"I(ngodnn,rokap,exptgens)",22,53,29,54.72
Barley,"I(frspdag,jordinf,exptgens)",28,30,8,26.67
